pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
44927,"Heym, Georg_Die Züge_1899","Heym, Georg",Die Züge,1899,"Rauchwolken, rosa, wie ein Frühlingstag, Die schnell der Züge schwarze Lunge stößt, Ziehn auf dem Strom hinab, der riesig flößt Eisschollen breit mit Stoß und lautem Schlag.Der weite Wintertag der Niederung Glänzt fern wie Feuer rot und Gold-Kristall Auf Schnee und Ebenen, wo der Feuerball Der Sonne sinkt auf Wald und Dämmerung.Die Züge donnern auf dem Meilendamme, Der in die Wälder rennt, des Tages Schweif. Ihr Rauch steigt auf wie eine Feuerflamme,Die hoch im Licht des Ostwinds Schnabel zaust, Der, goldgefiedert, wie ein starker Greif, Mit breiter Brust hinab gen Abend braust.",108,Jahrhundertwende,Expressionismus
44936,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Sie grüßen dich in deinem schwarzen Sarge Und flattern über dich wie Frühlingswind. Wie Nachtigallen rühren sie das karge, Wachsbleiche Haupt mit ihren Klagen lind.Mit Sammethänden wollen sie dich grüßen Von meiner Qual. Und wie ein Weinblatt rot, So taumeln ihre Küsse dir zu Füßen, Und ziehn wie Tauben sanft um deinen Tod.Sie schwingen über dir die Fackelbrände, Die furchtbar wecken auf die schwarze Nacht. Sie geben dir in deine weißen Hände Tränen von Stein, die ich dir dargebracht.Sie laden Düfte aus den Duft-Amphoren Und überschütten dich mit Ambra ganz. Dein schwarzes Haar steht auf, an Himmels Toren, Wie eines Sterngewölkes dünner Glanz.Sie werden große Pyramiden bauen, Darauf sie türmen deinen schwarzen Schrein. Dann wirst du in die wilde Sonne schauen, Die in dein Blut stürzt wie ein dunkler Wein.",145,Jahrhundertwende,Expressionismus
26430,Klabund_Ahasver_1909,Klabund,Ahasver,1909,"Ewig bist du Meer und rinnst ins Meer, Quelle, Wolke, Regen – Ahasver... Tor, wer um vertane Stunden träumt, Weiser, wer die Jahre weit versäumt. Trage so die ewige Last der Erde Und den Dornenkranz mit Frohgebärde. Schlägst du deine Welt und dich zusammen, Aus den Trümmern brechen neue Flammen... Tod ist nur ein Wort, damit man sich vergißt... Weh, Sterblicher, daß du unsterblich bist!",81,Jahrhundertwende,Expressionismus
26300,Klabund_3._1909,Klabund,3.,1909,"Wie lang ists her, dass ich mit dir im Grase lag. Das geflügelte Ur-insekt schwirrte über uns. Ich fing mit der Hand schlanke Ringelnattern Und hing dir ein Dutzend um den nackten Leib.In den Felsen spielte der Wind auf dem belaubten Cello. Vom Monte Ceneri schossen die Soldaten In die leere Luft. Schuss auf Schuss klang zwischen unsren Küssen.Warum nicht traf uns eine verirrte Kugel, Ehe sich Lippe von Lippe löste? Unser seliges Aas hätten dankbar gesegnet Aaskäfer, Ameise, Geier und wilder Fuchs.",93,Jahrhundertwende,Expressionismus
26145,Klabund_4_1909,Klabund,4,1909,"Öfter hast du mich gescholten, Glaubtest meinen Pfad verwunden, Hast das Ende nicht gefunden, Dem mein wilder Lauf gegolten.Aber hoben deine Hände Sich in meine, quollen Tränen. Heiß aus mutterheißem Sehnen Blühten Rosen ohne Ende.",41,Jahrhundertwende,Expressionismus
39017,"Sack, Gustav_UNTITLED_1900","Sack, Gustav",UNTITLED,1900,"Des Daseins Proteusmaske scheint und klingt und mag dem Kind als Wirklichkeit genügen, es wird zu Lust und Tränen blind sich fügen, je wie der Popanz ihm entgegen springt.Du möchtest ihn enthüllen – ach! es dringt kein Blick durch diese schillernd bunten Lügen zu dem, der mit geheimnisvollen Pflügen das Chaos in die Kosmosmaske zwingt.Nenn ihn das Furchtbare und deine Welt sein Maskenkleid und bleibe dir bewußt, daß jede Maske käuflich ist für Geld –und diesen Glauben, hörst du Glauben, mußt als Sprungbrett du betrachten, das dich schnellt zu aller Deutung grenzenloser Lust.",102,Jahrhundertwende,Expressionismus
21154,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Die Rosen im Garten blühn zum zweiten Mal. Täglich schießen sie in dicken Bündeln In die Sonne. Aber die schwelgerische Zartheit ist dahin, Mit der ihr erstes Blühen sich im Hof des weiß und roten Sternenfeuers wiegte. Sie springen gieriger, wie aus aufgerissenen Adern strömend, Über das heftig aufgeschwellte Fleisch der Blätter. Ihr wildes Blühen ist wie Todesröcheln, Das der vergehende Sommer in das ungewisse Licht des Herbstes trägt.",78,Jahrhundertwende,Expressionismus
26321,Klabund_13._1909,Klabund,13.,1909,"Ich huste durch die Nächte hohl und heiss. Die Stunde klingt. Es glänzt der Schweiss.Ich bin durch seltne Hässlichkeit verschönt. Ein Kabarett entfaltet sich und tönt.Im Kahne schaukelt sich mein Kahlkopf kess. Wenn mich ein Mädchen sähe, weinte es.Mein Auge brennt. Die Arme flügeln leis. In meinem Schnabel hängt ein Ölbaumreis.",59,Jahrhundertwende,Expressionismus
26146,Klabund_5_1909,Klabund,5,1909,"Was dich immer heiß umfasse: Mannesleib und Luft: Sei der Sehnsucht süßer Sasse Über Gram und Gruft.Beichter mag sich leichter geben, Schwerer schwärmt das Muß. Lache, Seufzer! Klettre, Rebe! Kühle, kühle... Kuß!Dunkel liegt schon die Terrasse, Und der Mond geigt grau. Was dich immer heiß umfasse: Fühle, fühle... Frau!",67,Jahrhundertwende,Expressionismus
52648,"Heym, Georg_Der Krieg_1911","Heym, Georg",Der Krieg,1911,"In der Nacht er jagt das Feuer querfeldein einen roten Hund mit wilder Mäuler Schrein. Aus dem Dunkel springt der Nächte schwarze Welt, Von Vulkanen furchtbar ist ihr Rand erhellt.In der Nacht er jagt das Feuer querfeldein einen roten Hund mit wilder Mäuler Schrein. Aus dem Dunkel springt der Nächte schwarze Welt, Von Vulkanen furchtbar ist ihr Rand erhellt.",64,Expressionismus,Expressionismus
