pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
40536,"Hofmannsthal, Hugo von_UNTITLED_1913","Hofmannsthal, Hugo von",UNTITLED,1913,"Tüchtigen stellt das schnelle Glück Hoch empor, wo er gebiete, Vielen zum Nutzen, vielen zum Leid, Und es hängen sich viele an ihn, Neiden ihn viele, Und ihn umschmeichelt was da gemein ist.Er aber, droben, Suchet sich selber, welchem er diene Von den Geistern, welchem strengen, Und dem wird er ähnlich Und verdient sich den Glanz Und Stab des Gebietens, Den dereinst das schnelle Glück ihm zuwarf, Und kämpft es aus, Unablässig, Tagaus, tagein, Jahr um Jahr, Und waltet des Amtes Wesenhaft, Und ihn grüßt, Wo Männer seiner gedenken, Ein schönes Wort: Bewährung.",116,Expressionismus,Jahrhundertwende
10163,"Weissmann, Maria Luise_Robinson zimmert einen Stuhl_1914","Weissmann, Maria Luise",Robinson zimmert einen Stuhl,1914,"Ich lehre schwer die ungeübten Hände, Die von nichts wissen. Und mein Mund ward stumm, Als ob Erinnerung ihm langsam schwände.Ich hab ein Ding, behindert, schief und krumm, Gebaut und muß an ihm nun meine Zunge lehren, Die »Stuhl« sagt. Mit dem kindlichen, erstaunten Klang.Und meine glückbetäubten Hände ehren Sich in dem ersten Werk. Ein Tun gelang Von Grund: ich sitze. (Und das ist fast, wie Dies einmal war, sehr früh: ich bog die Knie.)",95,Expressionismus,Expressionismus
16704,"Engelke, Gerrit_UNTITLED_1918","Engelke, Gerrit",UNTITLED,1918,"Du hast durch Deinen Kuß Mein stromvoll Blut geweckt Und mein Gesicht warm aufgehoben aus dem Tag, Daß mich nun uferlose große Nacht umspült, Herwehend Glanz und Taumel. Einwiegend Zittern schwillt in meiner Füße Wurzeln, Einströmen lassend Erde und Getön, Und springt aus meiner Kniee Schreiten in die Brust Zu meerbewegter Melodie, Darin mein Herz, die Orgel rauscht. Nun sich im Takte meine Sohlen heben Und grenzenlos beseeltes Schweben Die Glieder übergießt: Hab ich die Arme aufgehoben, Und fühl, wie meiner aufgelockten Haare Schopf Die nachtbemalten Wolken streift, Sternblütenkranz die Stirn umgreift, Und tanze, tanze zu Dir hin! Denn meiner segelwilden Sehnsucht Schauer, All meiner Einsamkeiten Trauer, Mein hin und her durchflutet Sein, Und nun des selgen Leibes neue Lust: Stürmt fort und fort an Deine Brust, Will nur in Dir geborgen sein.",154,Expressionismus,Expressionismus
12778,"Lichtenstein, Alfred_Landschaft in der Frühe_1913","Lichtenstein, Alfred",Landschaft in der Frühe,1913,"Die Luft ist grau. Wer weiß was gegen Ruß? Bei einem Ochsen, der am Boden frißt, Steht staunend ein tiefernster Hochtourist. Bald gibt es einen kräftgen Regenguß.Ein Junge, der auf eine Wiese pißt, Wird zu dem Quell von einem kleinen Fluß. Was soll man machen, wenn man ernsthaft muß! Mensch, sei natürlich. Gib dich, wie du bist.Ein Dichter geht in dieser Welt umher, Besieht sich den geregelten Verkehr Und freut sich über Himmel, Feld und Mist.Ach, und notiert sich alles sorgsam auf. Dann steigt er einen hohen Berg hinauf, Der gerade in der Nähe ist.",114,Expressionismus,Expressionismus
12816,"Lichtenstein, Alfred_Erotisches Variété_1913","Lichtenstein, Alfred",Erotisches Variété,1913,"Auf offner Straße in der Nacht Entkleidet sich ein Kneipenwirt. Ein Ingenieur ist aufgebracht, Der sich bei seinem Weib verirrt.Nach gleichgesinnten Viechern schielt Ein homosexueller Hund. Ein Greis, der mit sich selber spielt, Merkt: Allzuviel ist ungesund.In schmutzig grüner Tunke hockt Ein blauer Syphilitiker. Ein Boxer bebt. Ein Baby bockt. Verstiert fault ein Zylinderherr.Ein Auto bringt ein Fräulein um. Ein Junge bricht ein Mädchen an. Verbittert ist ein Mensch. Warum? Weil er nicht coitieren kann.",89,Expressionismus,Expressionismus
10222,"Weissmann, Maria Luise_Sonett_1914","Weissmann, Maria Luise",Sonett,1914,"Wie schien die alte Feindschaft nun besiegelt In gültigem Vertrag: ein Lächeln hing Geheimnislos von einem Lächelnden; verriegelt Schloß sich der Mund dem Schweigenden, es fingDie Rede sich in anmutvollem Spiel Verschlungen wandelnd, schwesterlich vertraut: Wie war den Wandernden verwandte Ziel Wie sicher schien das (alte) Haus gebaut:Da traf ein Blick aus alten Feindschaftstagen: Nachtdunkler Weg erstand ins Unbekannte Aus sanften Worten strömten wilde Klagen.",76,Expressionismus,Expressionismus
10202,"Weissmann, Maria Luise_Auszug der Tiere_1914","Weissmann, Maria Luise",Auszug der Tiere,1914,"Es waren eingekreist die ahnungslosen Verirrten Tiere eh sie sich versahn Von Wand und Wand. Ganz fern im Grenzenlosen Zog noch von Himmel eine blasse Bahn.In einer Nacht war Mond in ihren Träumen. Sie brachen auf, gezogen in das fahle Trügende Licht. Und wie ins Laub von Bäumen Stiegen sie ins Geäst der Kathedrale.Und stiegen träumend fort bis in das letzte Gezweig der Giebel und erwachten kaum Als sich ihr Fuß hinaus ins Leere setzte: Sie fanden sich verstiegen in dem Raum,Der Erde nicht und der nicht Himmel hieß, Ganz heimatlos. Sie starrten in des Lichts Ziehenden Strahl bis sie der Blick verließ Und sie versteinten, irren Angesichts.",119,Expressionismus,Expressionismus
12767,"Lichtenstein, Alfred_Nebel_1913","Lichtenstein, Alfred",Nebel,1913,"Ein Nebel hat die Welt so weich zerstört. Blutlose Bäume lösen sich in Rauch. Und Schatten schweben, wo man Schreie hört. Brennende Biester schwinden hin wie Hauch.Gefangne Fliegen sind die Gaslaternen. Und jede flackert, daß sie noch entrinne. Doch seitlich lauert glimmend hoch in Fernen Der giftge Mond, die fette Nebelspinne.Wir aber, die, verrucht, zum Tode taugen, Zerschreiten knirschend diese wüste Pracht. Und stechen stumm die weißen Elendsaugen Wie Spieße in die aufgeschwollne Nacht.",88,Expressionismus,Expressionismus
16647,"Engelke, Gerrit_UNTITLED_1912","Engelke, Gerrit",UNTITLED,1912,"Nicht Raum, nicht Zeit, nur Nacht und Nacht. Nur Nacht, von Nacht noch überdacht. Ein trächtig Sausen wogend schwoll –Da! plötzlichgroß ein donnernd »Ich«! erscholl – Da: Er! – Er saß in Nacht, Und Er – Er war die Nacht. Der Anfang war erwacht. Er saß im Anfangsnacht-Getreibe Mit schwangerem Hirn und Leibe, Um Seinen Körper rauchte Schweiß. Ein helles Strahlen ging aus Seinem Kopf – Und wurde dicht und hell: zum Silber-Mond-Kreis, Aus Seinen Augen fiel ein Lichtgetropf: Und irrte wirr im Dunkel: Sterngefunkel.Da scholl es wieder fürchterlich: Das All-Gebär-Gebrüll: »Ich«! Da riß Er auf mit Händekrallen Seine Stirn: Und offen lag in Dampf: das rote Feuer-Hirn! Er riß ein Stück heraus: Er ballte eine Kugel draus Und hielt das Glühen in die Nacht, Er hing es in den Braus: Die Sonne war erwacht! Ein Glühgezisch, das Funken sprühte, Das heiß die schwere Nacht durchglühte, Daß Mond und jeder Stern verblühte Und alles Dunkel schwand.Da riß Er mit den Händekrallen Aus Seinem Leib das Alles-Herz! Schrie »Ich«! und »Ich«! in Dampf und Schmerz – Und ließ es in die Tiefe fallen –Er ließ es in die Tiefe fallen Und setzte Seinen Fuß darauf. Und setzte Seinen Fuß auf diese Welt Auf Seine, Seine Welt, Von Sonne überhellt.Zum Letzten rief er wieder »Ich«: Gedehnt und G0äterlich beschließend, Als erster Wohlklang aus Ihm fließend, Und ließ ein Teilchen Zeugungs-Hirn aus Seiner Hand Tief abwärts fallen auf das neue, runde Land:Und da! und da: der Same quoll; Ein Wesen, neues Wesen schwoll: Und stieg – und stand auf dem Geroll: – Der Mensch! der Mensch! der Mensch!Der sah den All-Gebärer nicht! Er sah das Licht, nur Licht und Licht! Er hob ergriffen seine Hände hoch, Ein schäumend Stammeln seinem Mund entflog, Das große Leuchten bog Seine Knie –Da brach aus seinem Munde jäh ein Sang: Voll Rausch, voll niegehörtem Urwelt-Klang: Vom wilden Leben hochgeschwellt: Hinauf! Hinauf! Zum ersten Tag! Zum Ewig-Tag! Zum Tag der Welt.",400,Expressionismus,Expressionismus
10143,"Weissmann, Maria Luise_Mund_1914","Weissmann, Maria Luise",Mund,1914,"Ich bin nur noch ein Mund, der zu Dir spricht, So schwand ich hin, verlor sich mein Gesicht Und all der Leib, zu dem ich mich versammelt. Ich bin nur noch ein Mund, der zu Dir stammelt, Der leben blieb, sein Sterben Dir zu künden: Er tut sich auf, und muß schon in Dich münden.",66,Expressionismus,Expressionismus
