pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
18332,"Wille, Bruno_UNTITLED_1894","Wille, Bruno",UNTITLED,1894,"Zukunft ist ein Würfelbecher, Der ein Würfelpaar bedeckt. Längst gefallen sind die Würfel; Doch der Wurf ist noch versteckt.Zukunft ist ein Würfelbecher: Längst gefallen ist dein Loos. – Darum blicke auf den Becher Ohne Furcht – und hoffnungslos.",44,Jahrhundertwende,Naturalismus
24139,"Henckell, Karl_UNTITLED_1896","Henckell, Karl",UNTITLED,1896,"Simson , den der Herr gerüstet Mit Gewalt erschrecklich groß , Sprach zum Weibe : » Mich gelüstet ! « Und er lag in ihrem Schoß . Und das Weib quält ihn am Tage , Und es plagt ihn bei der Nacht : » Sage , lieber Simson , sage , Worin stecket deine Macht ? « Und der den Philistern Keile Gab mit den Stein ein Grausen faßt.Furchtbar gellten seine Töne : » Hoch Philister , hipp hurra ! « Während zu vom Dach die Schöne Samt dreitausend Spießern sah . Ob des blinden Spielmanns lachte Sich ein Schwall die Lippen schief – Da in Simsons Busen wachte Auf der alte Gott und rief : » Simson , zwischen Fuchsenschwänzen Zündetest du einst den Brand , Jagtest sie zu Feuertänzen Mitten in Philisterland . Korn und Öl und Wein und Mandeln Stand in Flammen lichterloh – Simson , laß dich nicht verschandeln , Pack den Stein , als wär ' es Stroh ! « Und er fassete die Säulen Rechter , linker Hand zumal , Und mit Krachen , Prasseln , Heulen , Donnerähnlichem Skandal , Als er sich energisch reckte , Sank in Trümmer das Palais – Delila ersoff im Sekte Mit kaputtem Portmonnäh. » Meine Seele möge sterben Mit Philistersturz ! « er sprach , Als er unter Schutt und Scherben , Leichen rings , zusammenbrach ... Hat 's zum Weib ihn auch gelüstet , Siegreich sühnt ' im Tod sein Los Simson , den der Herr gerüstet Mit Gewalt erschrecklich groß .",257,Jahrhundertwende,Naturalismus
24172,"Henckell, Karl_UNTITLED_1896","Henckell, Karl",UNTITLED,1896,"Zerflatternd schwanden schwere Nebelschuppen Vom Antlitz des Gebirges langsam hin . Weiß schweben Wolken um befreite Kuppen – So weht Allvaters Bart seit Urbeginn . Der Himmel sandte seine Säubertruppen , Die frischen Morgenwinde . Siegerin Wird Sonne . Ihre tausend Strahlenhände Ergreifen hell die finstern Felsenwände.Von diesem Gipfel , wo die Geister thronen Der überwindend schöpfertrunkenen Lust , Schau ich die Welt gemarterter Dröhnt dir , o Mensch , die letzte Warnung zu : Verblendeter ! Die Heiligtümer zittern . Wie lange noch , wie lange rasest du ? Die Säulen bersten , und die Balken splittern , Der Bau des Lebens bricht . O lasest du So blind im Buch der Dichter und der Weisen ? Nie wird die Welt geheilt durch Blut und Eisen.Aus rohen Banden gieriger Gewalten Entkette dich zu menschenwürdigem Bund ! Dein Völkerschicksal mußt du neu gestalten Durch Recht und Ordnung ! spricht der Erde Mund . Die Tigertatzen , die dein Hirn umkrallten , Beschneide kühn ! Sie reißen todeswund . Zu edlern Kämpfen deine Kraft zu stählen , Sollst du , o Mensch , den Bund der Freiheit wählen ! « So mächtig klang der Erde Klag ' und Mahnen Mit weher Mutterstimme mir ans Ohr . – Nun sei mir Losungswort , den Weg zu bahnen , Der uns erschließt des künftigen Lebens Tor ! Zieht hell voran , ihr weißen Wolkenfahnen , Weltfriedenszeichen zart im Rosenflor : Muß sich die irre Zeit in Krämpfen winden , Die Binde fällt . Der Wahn muß Heilung finden .",256,Jahrhundertwende,Naturalismus
12526,"Wedekind, Frank_Die Keuschheit_1891","Wedekind, Frank",Die Keuschheit,1891,"Schimmernd fülle sich der Teller , Schimmernd bis zum Rand hinan ; Jeder spende seinen Heller Gern dem alten Leiermann . Manch ein Lied ha ich gesungen , Das euch tief ins Herz gedrungen ; Doch ein Lied wie dieses hier Hörtet ihr noch nicht von mir.Eines Abends in der Messe Lauscht er hinter ihrem Pult , Mit erzwungner Totenblässe Bat er sie um Schandperson nach Haus.Kommt zurück nach langer Pause , Und das Mädchen ist noch da , Denn sie wagt sich nicht nach Hause , Weil sie so verändert sah ; Bat ihn , daß sie bleiben könnte , Was er ihr denn auch vergönnte ; Ach , sie dachte nicht daran , Was der Schreckensmensch ersann.Nachdem er zu Bett gegangen , Winkt er sie vom Diwan her , Überreicht ihr einen langen Scharfgeladenen Revolver . Bittet kühl um den Gefallen , Ihn sich vor den Kopf zu knallen , Denn die Wirkung sei famos , Und er sei sie endlich los.Ohne etwas zu entgegnen , Hob sie sich ihn an die Stirn , Tät noch ihren Mörder segnen Und durchschoß sich das Gehirn . Lächelnd schmaucht er die Zigarre Zum Entstehn der Totenstarre , Geht dann , seiner Schandtat froh , Nach dem Polizeibüro ! Und nun hat sie ausgelitten , Diese Maid , die treu geliebt , Dabei engelrein von Sitten , Wie es keine zweite gibt . Alle möge Gott verfluchen , Wenn sie seine Gnade suchen , Denn sie liebten nur das Fleisch ; Diese starb im Herzen keusch .",256,Naturalismus,Naturalismus
26388,Klabund_UNTITLED_1909,Klabund,UNTITLED,1909,"Ich bin Seine Majestät der Räuberhauptmann Terente Und geruhe, im Donaudelta das Zepter eines knorrigen Eichenknüttels zu schwingen. Ich bin der Herr der hundert Teiche Und der Sklave der tausend Mädchen.Eines Tages in Braila auf dem Markt Sah ich zwei schöne Schwestern vom Erker auf mich herniederlächeln. Eines Nachts in Braila auf dem Markt Raubte ich sie zu ihren Geschwistern, den Wildenten, in den Donausumpf.Ich liebe die armen Teufel, die armen Engel. Ich habe zehn kriegsinvaliden Bettlern Leierkästen gekauft. Sie spielen auf den Höfen in Bukarest und Konstanza Das Lied vom Räuberhauptmann Terente.Cojoccar und Cervusa sind Laffen gegen mich. Man wird sie mit Recht oder Unrecht hängen. Aber nicht hängen wird man mich, der ich hänge wild Am Leben.",130,Jahrhundertwende,Expressionismus
46851,"Löns, Hermann_Der Stromer_1890","Löns, Hermann",Der Stromer,1890,"Hier auf der Heide, Da fuhr ich auf und auf und ab; Schritt lief ich im Sommer, Wintertags Trab.Heiß ist der Sommer, Kalt ist der Winterwinterwind, Warm ist das Lieben Beim schönsten Kind.Hinter der Hecke, Da ist ein guter guter Platz; Da will ich träumen Von meinem Schatz.Die, die ich meine, Die lebt wohl längst, ja längst nicht mehr; Die Rosenbüsche Sind kahl und leer.Hinter der Hecke, Da ist der Schnee, der Schnee so weich; Blei ich da liegen, Mir ist es gleich.Tragen zwei Engel Mich auf zur Himmelshimmelshöh; Mein feines Liebchen Ich wieder seh'.Ein Liljenstengel Trägt sie in ihrer, ihrer Hand; Ein Liljenstengel Mit goldnem Band.",128,Naturalismus,Naturalismus
44985,"Heym, Georg_Die Höfe luden uns ein_1911","Heym, Georg",Die Höfe luden uns ein,1911,"Die Höfe luden uns ein, mit den Armen schmächtig, Faßten unserer Seelchen zipfeliges Kleid. Und wir entglitten durch Tore nächtig In toter Gärten verwunschene Zeit.Von Regenrohren fiel Wasser bleiern, Ewig, Wolken flogen so trübe. Und über der Starre der frostigen Weiher Rosen hingen in Dürre vom Triebe.Und wir gingen auf herbstlichen Pfaden, geringern, Gläserne Kugeln zerrissen unser Gesicht, Jemand hielt sie uns vor auf den spitzigen Fingern. Unsere Qualen machten uns Feuerlicht.Und wir schwanden so schwach in die gläsernen Räume. Riefen voll Wehmut, da dünne das Glas zerbrach. Wir sitzen nun ewig, in weißlichen Wolken, zu träumen ›Spärlichem‹ Fluge der Falter im Abend›rot‹ nach.",120,Expressionismus,Expressionismus
12752,"Lichtenstein, Alfred_Intérieur_1911","Lichtenstein, Alfred",Intérieur,1911,"Ein großer Raum – halbdunkel ... Tödlich ... Ganz verwirrt ... Aufreizend! ... Zärtlich ... Traumhaft ... Nischen, schwere Türen Und weite Schatten, die in blaue Winkel führen ... Und irgendwo ein Ton, der wie ein Sektglas klirrt.Auf schwachem Teppich liegt ein breites Bilderbuch, Von grünem Deckenlicht verzerrt und übertrieben. Wie – weiche Kätzchen – fromm sich weiße Fräulein lieben! Vom Hintergrund ein Greis und seidnes Taschentuch.",75,Expressionismus,Expressionismus
26120,Klabund_Weisse Mäuse_1909,Klabund,Weisse Mäuse,1909,"Er kaufte auf dem Jahrmarkt sich zwei weiße Mäuse Und tat sie in ein gläsernes Gehäuse. Nun machen sie Männchen, lecken ihre Pfoten Und sehen dich mit ihren roten Äuglein ein wenig melancholisch an Und springen plötzlich auf – und dann Beginnt ein tolles Laufen: die eine rechts herum, die andre links. Und ihre feinen Stimmen pfeifen spitz, und klingts Als splittre sich vom Glase jeder Ton, Als wolle es den beiden Im nächsten Augenblicke schon Gelingen, Mit ihrem schrillen Singen Die Glaswand zu durchschneiden.",94,Jahrhundertwende,Expressionismus
26367,Klabund_2. Auf der Auer Dult_1909,Klabund,2. Auf der Auer Dult,1909,"Hier ist viel Kram und Tand und Traum geschichtet... Ein alter Stich, von Staub und Rost befleckt: Prometheus, wie er seine Fackel reckt, Hier Dante, wie er die Comedia dichtet.Vor einer Süßigkeitenbude schleckt Ein kleines Mädel für ein Zehnerl Süßes. Sie hebt den Kinderblick. O sprich und grüß es, Eh' ihre Seele sich mit Rost befleckt...Laß sie um zwanzig Jahre älter sein... Dann hat hier auf der Dult sie ihren Stand: Feil hält sie ihres Lebens Lug und Tand –Und es wird eine kleine Welt her sein, Daß du sie dunkel einst erröten machtest, Weil ihrem Kinderlächeln du entgegenlachtest...",116,Jahrhundertwende,Expressionismus
