Unnamed: 0,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
1645,40443,"Hofmannsthal, Hugo von_UNTITLED_1891","Hofmannsthal, Hugo von",UNTITLED,1891,"Was singt in mir zu dieser Stund Und öffnet singend mir den Mund, Wo alle Äste schweigen Und sich zur Erde neigen?Was drängt aus Herzensgrunde Wie Hörnerschall zutag Zu dieser stillen Stunde, Wo alles träumen mag Und träumend schweigen mag?An Ästen, die sich neigen, Und braun und dunkel schweigen, Springt auf die weiße Blütenpracht Und lacht und leuchtet durch die Nacht Und bricht der Bäume Schweigen, Daß sie sich rauschend neigen Und rauschend ihre Blütenpracht Dem dunklen Grase zeigen!So dringt zu dieser stillen Stund Aus dunklem, tiefem Erdengrund Ein Leuchten und ein Leben Und öffnet singend mir den Mund Und macht die Bäum erbeben, Daß sie in lichter Blütenpracht Sich rauschend wiegen in der Nacht!",130,Naturalismus,Jahrhundertwende
977,44944,"Heym, Georg_2._1899","Heym, Georg",2.,1899,"Hoch wo das Dunkel seine Schatten türmt Durch Ewigkeiten fern vom Grund der Qual , Hoch oben , wo im Dom der Regen stürmt , Erscheint des Gottes Haupt , wie Morgen fahl.Die weiten Kirchen füllt der Sphären Traum Voll Schweigen , das wie leise Harfen klingt , Da , wie der Mond vom großen Himmelsraum , Des Gottes weißes Haupt heruntersinkt.Tretet heran . doppelhörnig in der düstren Pracht Aus seinem Lockenwald ins Dunkel droht.Sein Leid ist wie ein Teppich , drauf die Schrift Der Kabbalisten brennt durch Dunkelheit , Ein Eiland , dem ‹vorbei› ein Segler schifft , Wenn in den Bergen fern das Einhorn schreit.Sein Leib trägt eines Schattenwaldes Duft , Wo großer Sümpfe Trauervögel ziehn , Ein König , der durch seiner Ahnen Gruft Nachdenklich geht in weißem Hermelin.Tretet heran , entflammt von seinem Gram . Trinkt seinen Atem , der so kühl wie Eis , Der über tausend Paradiese kam , Voll Duft , der jeden Kummer weiß.Er lächelt , seht . Und eurer Seele Bild Wird wie ein Weiher , der im Schilfe schweigt , Wo leis des Hirtengottes Flöte schwillt , Der durch die Lorbeerschlucht heruntersteigt.Schlaft ein . Die Nacht , die schwarz im Dome hängt , Verlöscht die Lampen an dem Hochaltar . Der große Adler seines Schweigens senkt Auf eure Stirn sein dunkles Schwingenpaar.Schlaft , schlaft . Des Gottes dunkler Mund , er streift Euch herbstlich kühl , wie kalter Gräber Wind , Darauf des falschen Kusses Blume reift , Wie Mehltau giftig , gelb wie Hyazinth .",256,Jahrhundertwende,Expressionismus
1690,11923,"Falke, Gustav_UNTITLED_1884","Falke, Gustav",UNTITLED,1884,"Was willst von mir du, dürr Gebein? Musst wohl vorüber gehn. Ich bin der Ruhm, blei trutzig stehn, Die Ewigkeit ist mein.Ich bin der Tod, hab groß' Gewalt, Nur du bist mir entrückt. Doch deinen stolzen Hals gebückt, Auch dir wird Ziel und Halt.Kannst du's nicht setzen, sag', wer dann? Mein Weg geht herrlich fort. Doch welch ein grausig Weib steht dort? Es schreitet dröhnend an.Ich bin die Zeit, mein Fuß zertritt, Was nicht der Tod zertrat. Auch du bist nun gereifte Saat, Und so stampft dich mein Schritt.Lass ab! mein leuchtend Flügelkleid, Die Schwingen, weh, zerknickt. So schmählich in den Sand geschickt, Ein Fest dem scheelen Neid.Muss unter deinem Eisenschuh Mein Stolz und Glanz vergehn, Und darf der Pöbel gaffend stehn? Schnell, mach ein End, tritt zu!",162,Naturalismus,Jahrhundertwende
1657,39952,"Ringelnatz, Joachim_Freundschaft_1908","Ringelnatz, Joachim",Freundschaft,1908,"Es darf eine Freundschaft formell sein, Muß aber genau sein. Eine Freundschaft kann rauh sein, Aber muß hell sein.Denn Allzusprödes versäumt oder verdirbt Viel. Weil manchmal der Partner ganz plötzlich stirbt.Mehr möchte ich nicht darüber sagen. Denn ich sitze im Speisewagen Und fühle mich aus Freundschaft wohl Bei »Gedämpfter Ochsenhüfte mit Wirsingkohl«.",60,Jahrhundertwende,Jahrhundertwende
311,39042,"Sack, Gustav_Der Findlingsblock_1900","Sack, Gustav",Der Findlingsblock,1900,"In weiter Heide auf den Hügelwellen vom Meer der Vorzeit dünend aufgeschlagen, liegt einer der granitenen Gesellen, die einst der Gletscher Strom ins Land getragen.Und ob der Himmel ihn mit Schloßen schlägt, die Sonne brennt, ein Schneewall ihn ummauert, oder ein Waldbrand heulend ihn umfegt, er liegt und ruht, schweigsam und stolz, und dauert.Doch als ich gestern nächtlich vor ihm stand, schien er mir in der Sterne fahlem Licht verwandelt, dieser tote Klumpen Sand in Gottes gramdurchrißnes Angesicht.",89,Jahrhundertwende,Expressionismus
1685,7961,"Dehmel, Richard Fedor Leopold_Dichterfreundschaft_1891","Dehmel, Richard Fedor Leopold",Dichterfreundschaft,1891,"Euch suchte ich . O kindisch weich Bewegen , o stürmisch Wogen alter Liebeslust ! der schwellende Strom dem rollenden Meer entgegen , so stürz ' ich mich an eure Brust . Noch Einmal rauschen auf aus ihren Gründen der ersten Jugendsehnsucht scheue Laute , zur Brandung schäumend : in die Flut zu münden , die brausend lockende , die urvertraute ... O langer : die tausend Küsse , die er aufgesogen , wie Lenzhauch nun sein lockiges Haupt umflogen , umschlangen die geballten Fäuste , bogen sie spielend auf und kos'ten sie und zogen in seinen Schooß sie wieder , und ein Säumen und so rann er matt des Weges , wie in Träumen ... So fand ich Euch – und lauschte . O Erwachen ! o brüderlich Erkennen , jauchzend Lachen ! o Meeresstimmen , süße Schwesterlaute ! erfüllter Ahnung Klänge , urvertraute ! – Zur tiefen See des vollen Stromes Sehnen erfaßt mich , in die Arme euch zu fallen , zu fühlen eurer Herzensfluten Wallen , an eurer sturmgeworfnen Brust zu lehnen.In Eure Seele schütten will ich Meine mit allen Himmelswassern , die sie tränkten , mit allen Quellenpulsen , die mich drängten euch zu umhalsen : daß in Eine Eine glücksingende Woge unser Leben brande , die glanzumzittert von dem Strahlennetze der großen Sonne Liebe rings die Lande , die dürren , für denSchon keimt es sacht ; schon hör ' ich Osterglocken vom Strand der Zukunft grüßen übers Meer , – – der Dank der Menschheit , drüber her ...",256,Naturalismus,Jahrhundertwende
2627,36700,"Holz, Arno_Weltzeitungs-Inserat_1896","Holz, Arno",Weltzeitungs-Inserat,1896,Gesucht wird für sofort ein tüchtger Mäher. Adressen sub Bureau zum grossen Pan. Denn dreigekrönt sitzt noch ein Pharisäer Auf seinem Sündenstuhl im Vatikan.,27,Jahrhundertwende,Naturalismus
2691,14432,"Lachmann, Hedwig_UNTITLED_1891","Lachmann, Hedwig",UNTITLED,1891,"Es liegen viele Morgen Landes Seit Ewigkeiten unbestellt. Mit Hügeln sturmverwehten Sandes Beschwert von Anbeginn der Welt.Kein Sämann hat in ihre Poren Die Saat des Lebens je gesenkt. In der Unendlichkeit verloren Verfällt ihr Staub, dem Staub vermengt.",42,Naturalismus,Naturalismus
2933,70447,"Holz, Arno_UNTITLED_1886","Holz, Arno",UNTITLED,1886,"Weh, man hat dich längst begraben, Denn nur noch an Soll und Haben Denkt die Menschheit dieser Zeit!Ausgebrannt ist jede Brust, Die Altäre stehn verlassen, Horch, und draußen auf den Gassen Predigt die entmenschte Lust!Weh, man hat dich längst begraben, Denn nur noch an Soll und Haben Denkt die Menschheit dieser Zeit!Ausgebrannt ist jede Brust, Die Altäre stehn verlassen, Horch, und draußen auf den Gassen Predigt die entmenschte Lust!",86,Naturalismus,Naturalismus
1486,40482,"Hofmannsthal, Hugo von_UNTITLED_1893","Hofmannsthal, Hugo von",UNTITLED,1893,"Dichter , nicht vergessen hab ich deiner , Während du die schönen Wege gingest , Goldene Lebensfrüchte Aus dunklem Laub zu pflücken Und schauernde Gedanken Aus Nymphenhänden . Oft gedacht ich deiner , Aber ein Mal vor allen : Da war mystischer Vollmond Mir über der Stirn , Ein leuchtendes Ding , ein Land Hoch im leeren Raum . Ich schaut ihn an Und : All Gegenwart , All Sinn , all wie im Traum.Da saßest auch du Irgendwo In meiner Welt Über Bogen und korinthischem Gebälk Einer römischen Ruine In einem Vogelnest , Einem Nest aus wilden Rosen und Schlingkraut , Um dich die leere Luft , Allein , ein Hirtengott , ein Pan , Und leuchtend unter dir die Lebensflur.Und jetzt bist du daheim , nicht mehr ein Gott , » Im Schattenland , ein Schattenmann , Der grauen Heimat öde Schollen tretend – « Was ist das für ein Wort ? Wer redet solch ein Wort Und ist ein Dichter ? Das Wort der Klage ist ein leeres Wort ! Hast du nicht deiner Sinne dumpfe Flur , Darüber hin des Lebens Göttin dich , Die wilde , jagt Mit großen schwarzen Hunden , Leben , Traum und Tod , Drei großen schwarzen Hunden ? Hast du nicht Gabe , Die Wesen zu schauen , Nicht kalt von außen , Nein , aus dem Innern Der Wesen zu schauen Durch dumpfe Larven Ins Weltgetriebe , So wie der trunkene Faun aus der Maske , Der grellbemalten Kürbismaske , Unheimlich schaut durch Augenlöcher .",256,Jahrhundertwende,Jahrhundertwende
2857,36779,"Holz, Arno_UNTITLED_1896","Holz, Arno",UNTITLED,1896,Rosander küßt Rosauren/ mich kan man stäts nach Zehn bey Basimenen sehn.Die Brüstgens sind ihr beyde auß ohnbeschmuzzter Kreyde/ ihr Glantz for meinen Sinn sticht alle Sterne hin.Ihr Pärlemutter-Rükken erfüllt mich mit Entzükken/ auch nimbt mich for sie ein ihr wohl formirtes Bein.Nur zäuberische Worte haucht die Rubinen-Pforte/ darmit geht sie mir zahrt ümb meinen Zihgen-Bahrt.Ein halbes Viertel-Stündgen lustirt mich so ihr Mündgen/ sordan reisst es mich fort an einen andren Ort.Am Bandelir die Zitter zih ich für manches Gitter/ denn einer gantz allein kan ich nicht freundlig seyn.Die Gässgens auff und nihder erschallen meine Lider/ singt doch sälbst meiner Treu der grüne Bapegoy.Wenn eine recht gefüglig/ ist mir das schon genüglig/ doch wenn sie nach mir brennt/ so fühl ich mich content.Mit silbrenen Galaunen säzz ich sie in Erstaunen; das Wämbstgen/ das mich zihrt/ ist dikk mit Gold brodirt.Kombt wer mir in die Qwere/ dan hat ihn gleich auff Ehre der alte Gözze der Hellen-General!Durch Fehder/ Filtz und Krempe stoß ich ihm meine Plempe/ von jeder Löffeley mach ich ihn durchauß frey!Die bleich verstellte Frazze beschnoppt ihm Hund und Kazze/ ich dreh mich nicht mal um/ Hertz-Bruder/ du bleibst stumm!Mit Trekk statt mit Bomade besprüzzt biß an die Wade/ bey darzu bün ich der Mann!Mein ohnverstelltes Wesen ist nicht for Fehder-Lesen/ noch nie hab ich die Nacht mit Schnarchen zugebracht!Drey Duzzend Göldne Gulden mach ich dagdäglich Schulden/ drümb kom mir keiner nah –,245,Jahrhundertwende,Naturalismus
506,16695,"Engelke, Gerrit_UNTITLED_1913","Engelke, Gerrit",UNTITLED,1913,"Hängt ein Stern in der Nacht, Irgendwo – Irrt ein Herz durch die Nacht – Irgendwo –Saust Wind im Wald, Irgendwo – Eulen-Schuhu hallt Irgendwo –Blüht ein Wunderbaum Irgendwo – In einem Traum – Irgendwo –Hängt ein Stern in der Nacht, Irgendwo – Golden ist der Mond erwacht – Irgendwo –",54,Expressionismus,Expressionismus
2159,19978,"Müller-Jahnke, Clara_Zur Arbeit_1882","Müller-Jahnke, Clara",Zur Arbeit,1882,"Aus Morgennebeln leuchtet der frühe rote Tag; da treibt mich auf vom Lager ein dumpfer Glockenschlag. Der ruft aus süßem Traume zum trauten Heim hinaus mich in die Flammenschwüle ins dunstige Kesselhaus zur Arbeit.Ich schreite gleich dem Krieger in eisenstarrer Wehr, mit Hammer, Beil und Zange zum Daseinskampf einher. Und wo die Bälge sausen, wo hell das Feuer sprüht, singt mir die rote Flamme ein heißes Morgenlied zur Arbeit.Des Schweißes schwerer Tropfen, der von der Stirn mir läuft, ist Tau, der auf die Saaten der Zukunft niederträuft. Kein Mordgewaffen schmiedet die schwielenharte Hand; sie dehnt und schweißt und hämmert ein ehern Friedensband der Arbeit.Schlaf ruhig du, mein Knabe, in treuer Mutterhut; auch dich ruft einst die Frühe, auch dich ruft einst die Glut. Dann wirst in blaue Weiten auf fernster Brüder Ruf du die Maschine leiten, die einst dein Vater schuf, zur Arbeit.Zur Arbeit ruft ihr Sausen, zur Arbeit, nicht zur Fron! Dann wird die Sonne scheinen hell auf dein Werk, mein Sohn. In freier Männer Kreise klingt dann in Nord und Süd jauchzend wie Siegesweise ein frohes Morgenlied.",204,Naturalismus,Naturalismus
1921,7844,"Dehmel, Richard Fedor Leopold_Meeraugen_1891","Dehmel, Richard Fedor Leopold",Meeraugen,1891,"Was will in deinen Augen doch dies trauervolle dunkle Weh, so tief und sehr? so still und schwer wie die Stürme, die schlafen gingen im Schooß der grauen See.Versinken will, versinken stumm in dieser Augen müden Schooß mein Herz – und will wie Du so still und schwer in Dein Herz tauchen und reißen die Stürmeund will sich wiegen so mit dir in rasender lachender Seligkeit auf freiem Meer, – – bis tief und sehr die Wogen wieder ruhen,",85,Naturalismus,Jahrhundertwende
962,44031,"Stramm, August_Urtod_1894","Stramm, August",Urtod,1894,Raum Zeit Raum Wegen Regen Richten Raum Zeit Raum Dehnen Einen Mehren Raum Zeit Raum Kehren Wehren Recken Raum Zeit Raum Ringen Werfen Würgen Raum Zeit Raum Fallen Sinken Stürzen Raum Zeit Raum Wirbeln Raum Zeit Raum Wirren Raum Zeit Raum Flirren Raum Zeit Raum Irren Nichts.,48,Jahrhundertwende,Expressionismus
1020,11911,"Falke, Gustav_UNTITLED_1884","Falke, Gustav",UNTITLED,1884,"Noch bin ich jung und hoffe Kranz und Blüten, Das Leben lacht, ein Feld im Sommersegen. Noch fühl' ich Kraft, wenn Kampf und Stürme wüten, Noch schlägt den Dirnen heiß das Herz entgegen. Wie bald, und welke Kränze gilt es hüten, Ängstlich die letzten Flackerflämmchen hegen, Dann Asche, Asche, wo sonst Flammen sprühten, Die wird der Tod zum andern Kehricht fegen.",75,Naturalismus,Jahrhundertwende
2689,36717,"Holz, Arno_Fragezeichen_1896","Holz, Arno",Fragezeichen,1896,"Der Peter spricht zum Bruder Paul: Der Zeitgeist ist ein alter Sünder Und stopfen können ihm sein Maul Nur Krupp'sche Vierundzwanzigpfünder!Doch Paul kann Peter nicht besehn, Weil er sein Lebtag nur gelungert Und meint, als wäre nichts geschehn: Du Peter, hast du mal gehungert?",52,Jahrhundertwende,Naturalismus
