pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
12743,"Lichtenstein, Alfred_Der Angetrunkene_1913","Lichtenstein, Alfred",Der Angetrunkene,1913,"Man muß sich so sehr hüten, daß man nicht Ohn jeden Anlaß aufbrüllt wie ein Tier. Daß man der ganzen Kellnerschaft Gesicht Nicht kurz und klein haut, übergießt mit Bier.Daß man sich nicht die ekle Zeit verkürzt, Indem man sich in einen Rinnstein legt. Daß man sich nicht von einer Brücke stürzt. Daß man dem Freund nicht in die Fresse schlägt.Daß man nicht plötzlich unter Hundswauwau Die Kleider sich vom feisten Leibe reißt. Daß man nicht irgendeiner lieben Frau Den finstern Schädel in die Schenkel schmeißt.",94,Expressionismus,Expressionismus
8518,"Thoma, Ludwig_Der Tanz_1894","Thoma, Ludwig",Der Tanz,1894,"Das Tanzen gilt als ein Vergnügen , Bei dem sich zwei zusammenfügen , Und sich – statt gradeaus zu gehen – Nach links und rechts im Kreise drehen.Wenn wir sein Wesen recht erkennen , Wird man das Tanzen Arbeit nennen , Man hat den triftigsten Beweis In dem dabei vergossnen Schweiß.Hier untersucht nun der Gelehrte : Zum ersten schafft sie keine Werte , Zum und her , Der Hiesel spannt 's und freut sich sehr.Die rechte Hand verirrt sich schmeichelnd , Ganz unvermerkt den Busen streichelnd , Und Liesel duldet 's ohne Groll , Sie schaut verwirrt und seelenvoll.Die Tour ist aus . Die Malerinnen Sind nun schon alle fast von Sinnen , Die Liebe schwillt , die Sehnsucht platzt , Daß Lippe fest auf Lippe schmatzt.Dann eine Maß in Kellerräumen ; Man heißt den Zustand » Selig träumen « , Wenn er ihr Bein berührt , damit Sie ihn auf seinen Plattfuß tritt.Schon wird sie kühn und ausgelassen Und läßt ihn dies und jenes fassen . Sie schmilzt in heißem Liebesdurst , Der Ehrbegriff ist ihr schon wurst.Und wird der Hiesel sie verstehen , Dann kann er jetzt nach Hause gehen . Die Welt erlebt ein Ärgernis Mit Sündenfall und Apfelbiß.Sie schleichen still im Morgendämmern Durch Schwabing . Ihre Pulse hämmern , Sie stehen schon vor seinem Haus . Schutzengel , komm ! Sonst ist es aus.Der Engel , ach ! ist ausgeblieben , Das andre denkt euch , meine Lieben ! Im vierten Stock ein Atelier Und bloß ein schmales Bett – adje !",256,Jahrhundertwende,Jahrhundertwende
36645,"Holz, Arno_Der Ruhm?_1896","Holz, Arno",Der Ruhm?,1896,"Der Ruhm? Ein Ding, das unter sogenannten Brüdern Fast so reel wie eine Seifenblase? Geh, lass dir deine Nase putzen, Junge! Ein Rollmops, den die Mitwelt mit mir theilt, Wird mir unendlich schmeichelhafter sein, Als tausend stilgerechte Mausoleen. Die enthusiastisch mir die Nachwelt baut. Auch ist es Lüge, dass die Liebe sich Mitunter auf ein Rosenblatt verirrt. Auf dieses Monstrum hab ich Jagd gemacht Wie ein Professor, der Botanik liest, Vom Brocken bis zum Popokatepetl. Doch, was die Dichter mir auch vorgefaselt, Ich fand sie all mein Lebtag nur im Kuhdreck!",110,Jahrhundertwende,Naturalismus
36608,"Holz, Arno_Offener Brief_1896","Holz, Arno",Offener Brief,1896,"Lasst euch begraben, ihr Philologen, Bei mir habt ihr den Kürzern gezogen!Drei winzige Jährchen erst ist es her, Da habt ihr geflucht die Kreuz und Quer:Der Kerl, der hat zu lange Ohren, An dem ist Hopfen und Malz verloren!Und heute? Donner und Doria! Grenzt das nicht schamlos an einen Eclat!Zwar, was er weiss, ist nur autodidaktisch, Aber das Faktum ist eben faktisch:Er capirte die deutsche Poesie Auch ohne die griechischen Verba auf mi!",94,Jahrhundertwende,Naturalismus
70739,"Trakl, Georg_KLEINES KONZERT_1913","Trakl, Georg",KLEINES KONZERT,1913,"Ein Rot, das traumhaft dich erschüttert — Durch deine Hände scheint die Sonne. Du fühlst dein Herz verrückt vor Wonne Sich still zu einer Tat bereiten.Ein Rot, das traumhaft dich erschüttert — Durch deine Hände scheint die Sonne. Du fühlst dein Herz verrückt vor Wonne Sich still zu einer Tat bereiten.",56,Expressionismus,Expressionismus
14511,"Lachmann, Hedwig_UNTITLED_1891","Lachmann, Hedwig",UNTITLED,1891,"Ich bin ein Weib, zag, furchtsam, feig wohl gar – Geschreckt von dem Gewühl auf lautem Markt; Kleinlaut vor jähem Männerzwist und bar Der Kampflust, die am Widerstand erstarkt.Blut macht mich schaudern. Schwach und hilflos bin Ich vor der Wunde, die im Fleische klafft, Und fremd und feindlich wendet sich mein Sinn Von Waffentaten, noch so heldenhaft.Weich schuf mich die Natur. In Tränen bricht Mein Unmut sich wohl leicht, nach Frauenart, Und traumhaft legt sich eine Zuversicht Mir oft verhüllend um die Gegenwart.Doch lebt in mir ein Etwas, eine Kraft, Mir selber kaum bewusst und unbewährt, Die gegen herrische Gewalt sich strafft Und eine Glut in ihrem Kerne nährt.Ich weiss: wenn einst ein kühneres Geschlecht, Von Machtbegehr und Ruhmsucht nicht verführt, Allein der Stimme seines Bluts gerecht, Die Freiheit forderte, die ihm gebührt –Dies Herz, das jetzt noch zittert vor dem Strahl, Es hielte stand, so fest und ungebeugt, Wie, trotz der Übermacht von Erz und Stahl, Ein Mannesherz für reine Wahrheit zeugt.",190,Naturalismus,Naturalismus
70750,"Trakl, Georg_PSALM_1913","Trakl, Georg",PSALM,1913,Schweigsam über der Schädelstätte öffnen sich Gottes goldene Augen.Schweigsam über der Schädelstätte öffnen sich Gottes goldene Augen.,18,Expressionismus,Expressionismus
46777,"Löns, Hermann_Auf Feldwache_1890","Löns, Hermann",Auf Feldwache,1890,"Ich weiß einen Lindenbaum stehen In einem tiefen Tal, Den möchte ich wohl sehen Nur noch ein einziges Mal; Ich weiß zwei blaue Augen Und einen Mund so frisch und rot, O grüner Klee, o weißer Schnee, O schöner Soldatentod.Zu Hause auf den Feldern Da liegt der Schnee so weiß, Zu Hause in den Wäldern Da hängt das blanke Eis; Hier fällt nicht Schnee noch Regen, Zu lindern uns're große Not, O grüner Klee, o weißer Schnee, O schöner Soldatentod.So mancher mußte sterben Allhier in Afrika, Wir wollen nicht verderben, Der Tag der ist bald da; Die Nacht die geht zu Ende, Der Himmel der wird hell und rot, O grüner Klee, o weißer Schnee, O schöner Soldatentod.Wo sich die Straße wendet Da wohnt die Liebste mein, Ist meine Zeit beendet, So will ich bei ihr sein; Und kann es nicht so werden, Und muß ich fort beim Morgenrot, O grüner Klee, o weißer Schnee, O schöner Soldatentod.",185,Naturalismus,Naturalismus
36773,"Holz, Arno_UNTITLED_1896","Holz, Arno",UNTITLED,1896,Ohnvergleichliche Salene/ ja/ ich war dein Cawallir/ deine zwo mahl sechzehn Zehne blüzzten bläncker alß Porfir. Doch du weilst an frembden Flüssen und die schöne Zeit verfloß/ die mit hundret tausend Küssen mich in deine Arme schloß.Dorilillgen/ rühr die Schänckel/ denn daß ist der Welt ihr Lauff/ lupff dein Rökkgen/ zeig die Änckel/ dantz mir einen Pollschen auff! Sälbst die weissesten Zeitlosen sind nicht halb so weiß wie du/ wirffstu mir auß nichts alß Rohsen lautter lihbe Blikker zu.Schöner bistu fast alß das zertheilt mir alle Pein; komb/ du kleine sizz mir in den Schooß hinein! Dein mit Roht gemischt Erblassen macht mir tausend süsse Lust/ meine Finger rund ümbfassen deine duppel Silber-Brust.Blau durchs Fenster blinckt der Flihder/ nein/ ich laß dir keine Ruh; trukk mich/ Kind/ ich trukk dich wihder/ denn ich bün ein Mäntsch wie du! Zwar dein schönstes Belvedere hältstu listig noch verstäkkt; daß ich nichts nicht mehr entpehre/ halt es nicht mehr zubedäkkt!Ohnvergleichliche Salene/ dihsen Kuß hihr auff dein Wohl! Deine zwo mal sechzehn Zehne sind von innen durchauß hohl! Nichts wie Nasen sih mich drehen dir für dihsem Rohsen-Dhor – die hau ich auff ihr,201,Jahrhundertwende,Naturalismus
46953,"Löns, Hermann_Leinenführig_1890","Löns, Hermann",Leinenführig,1890,"Es zog ein Mann im Rathaus ein, Als Hecht im Karpfenteich, Die Waden drückte er stramm durch, Sein Rückgrat war nicht weich.Verwundert sah der Magistrat Sich an das Ungetier Und lächelte und sprach bei sich: »Wie kommst du uns bloß für!«»Stoppt ihn 'mal in die Kommission, In die kein andrer will, Schluckt er erst Zahlen Tag für Tag, Das macht ihn schon bald still.«»Und wenn er Männertöne red't, Quetscht man ihn an die Wand, Bis daß er nicht mehr quietschen kann, So kommt er zu Verstand.«Und wie gesagt, so auch getan, Nach einem Vierteljahr Der stramme Hecht im Karpfenteich Ein braver Karpfen war.Er schwänzelte bescheidentlich, Hört' er den Tritt des Herrn, Und warf der ihm ein Bröslein hin, So nahm er's liebendgern.",150,Naturalismus,Naturalismus
